NumVariables; TestName; correlationCoefficient; meanAbsoluteError; errorRate; relativeAbsoluteError; rootRelativeSquaredError
2; 1-jetty-servlet/m3.xlarge-throughput-perm-processed.json[count, mean]; 0.9605652653711044; 2712.7003677715466; 3397.5189670697227; 25.064218495533098; 27.805461866787752
2; 1-jetty-servlet/c1.medium-throughput-perm-processed.json[count, mean]; 0.8763371838720903; 2062.655447193499; 2181.5824850463746; 52.13860739600867; 48.169818368261964
2; 1-jetty-servlet/c1.xlarge-throughput-perm-processed.json[count, mean]; 0.8667906647014567; 5402.5999975762215; 6274.891613406562; 49.37308083762448; 49.86721804817337
2; 1-jetty-servlet/c3.xlarge-throughput-perm-processed.json[count, mean]; 0.8962529458912869; 4266.546029270313; 5053.10966094173; 42.96189738465727; 44.35432977525314
2; 1-jetty-servlet/c3.large-throughput-perm-processed.json[count, mean]; 0.8119588334639796; 2720.491565780514; 3148.6264031329633; 57.874179713245134; 58.37147015107765
2; 4/bm-2-go/c3.xlarge-throughput-perm-processed.json[count, mean]; 0.6259290008273762; 9566.204759763647; 11002.59608272174; 77.57220856117131; 77.98800458552866
2; 24/bm-2-go/c3.large-throughput-perm-processed.json[count, mean]; 0.6796832538821629; 3982.614633398992; 4647.88301823739; 72.21422726018116; 73.3505742576127
2; 4/bm-2-go/c1.xlarge-throughput-perm-processed.json[count, mean]; 0.9064552221901877; 4827.422947954357; 5864.573698537155; 39.654525312389474; 42.230194193744374
2; 4/bm-2-go/c1.medium-throughput-perm-processed.json[count, mean]; 0.8705693247275919; 2355.12; 2775.753713858634; 47.95504062226386; 49.20457812473813
2; 4/bm-2-go/m3.xlarge-throughput-perm-processed.json[count, mean]; 0.767267245946564; 7790.700000000002; 8916.32429231431; 63.90586421018958; 64.13275086081795
2; /bm-7-netty/c1.medium-throughput-perm-processed.json[count, mean]; 0.7284002397641492; 4897.735964308463; 5457.799441399789; 70.27586650464843; 68.51518741939843
2; /bm-7-netty/c1.xlarge-throughput-perm-processed.json[count, mean]; 0.8522314053557222; 6371.066664655259; 7454.696562570471; 51.27536510201252; 52.31650138583532
2; /bm-7-netty/c3.large-throughput-perm-processed.json[count, mean]; 0.703287656731427; 5985.798304130192; 6670.335511788781; 72.93083526201882; 71.0905388845251
2; /bm-7-netty/c3.xlarge-throughput-perm-processed.json[count, mean]; 0.5206697754909032; 9981.888891096702; 12218.23379580244; 80.08254555815876; 85.37581536303188
2; /bm-7-netty/m3.large-throughput-perm-processed.json[count, mean]; 0.6651473596345365; 9078.204876417109; 10556.079463466745; 73.5273787847531; 74.67121198770009
2; bm-9-tornade/c1.xlarge-throughput-perm-processed.json[count, mean]; 0.9517917182111671; 726.3136715803334; 929.7299361824313; 27.531695977420625; 30.674504909555434
2; bm-9-tornade/c1.medium-throughput-perm-processed.json[count, mean]; 0.47357980410888156; 493.12010313602775; 560.0927732891415; 89.12345981131895; 88.07509120859275
2; bm-9-tornade/c3.xlarge-throughput-perm-processed.json[count, mean]; 0.47740853043106574; 1396.4560209818574; 1505.1637365489476; 93.652740995363; 87.8681452559259
2; bm-9-tornade/c3.large-throughput-perm-processed.json[count, mean]; 0.0; 667.1; 766.1719715573; 100.0; 100.0
2; bm-9-tornade/m3.xlarge-throughput-perm-processed.json[count, mean]; 0.7302454996948169; 79.65820947354351; 110.55275282087449; 65.68124132053383; 68.31848287072509
2; 1-jetty-servlet/m3.xlarge-throughput-perm-processed.json[count, cpu]; 0.9823954646049894; 1516.581965317258; 2282.6493812008207; 14.012583990735084; 18.681314494313924
2; 1-jetty-servlet/c1.medium-throughput-perm-processed.json[count, cpu]; 0.9756868515544609; 839.3088781716364; 992.6046036170499; 21.215562755532883; 21.916926724279953
2; 1-jetty-servlet/c1.xlarge-throughput-perm-processed.json[count, cpu]; 0.9299472949909353; 4023.8892791831267; 4626.752488010162; 36.77337036832072; 36.76928453737459
2; 1-jetty-servlet/c3.xlarge-throughput-perm-processed.json[count, cpu]; 0.9897479364707996; 1313.4984730953274; 1627.1492035905492; 13.226245827160685; 14.282514572649402
2; 1-jetty-servlet/c3.large-throughput-perm-processed.json[count, cpu]; 0.9799052315275043; 950.5908055167213; 1075.9304687375086; 20.22232445203313; 19.94636238140392
2; 4/bm-2-go/c3.xlarge-throughput-perm-processed.json[count, cpu]; 0.9854272930148092; 1740.5498228974473; 2399.741551716552; 14.114091979382476; 17.009717864064136
2; 24/bm-2-go/c3.large-throughput-perm-processed.json[count, cpu]; 0.9602090348967203; 1193.9565458972447; 1769.6814568549705; 21.64925740520842; 27.92823111167443
2; 4/bm-2-go/c1.xlarge-throughput-perm-processed.json[count, cpu]; 0.905829358146421; 5069.036518833794; 5883.193618107514; 41.63924294860062; 42.36427432637606
2; 4/bm-2-go/c1.medium-throughput-perm-processed.json[count, cpu]; 0.9533990358049474; 1464.3887448520118; 1702.0344758800206; 29.817937831687644; 30.17122445745249
2; 4/bm-2-go/m3.xlarge-throughput-perm-processed.json[count, cpu]; 0.9259194747151879; 4796.822469114542; 5251.423895374275; 39.347566374218005; 37.77209636003136
2; /bm-7-netty/c1.medium-throughput-perm-processed.json[count, cpu]; 0.9344062252189436; 2275.584875236069; 2837.5000328547894; 32.65155575504096; 35.62092169948504
2; /bm-7-netty/c1.xlarge-throughput-perm-processed.json[count, cpu]; 0.885494232732224; 5745.354650777022; 6620.90813391634; 46.23953458114978; 46.46503672633532
2; /bm-7-netty/c3.large-throughput-perm-processed.json[count, cpu]; 0.9861544938020849; 1232.324624984054; 1555.9541868734757; 15.014616204496548; 16.582917220427078
